County,Municipality,Maintenance Responsibility,Power Distribution Provider (Service Area),Estimated Premise Count,Estimated Unit Count,Estimated Number of Poles,Estimated Route Miles for Existing Poles per town,Updated Town  Premise #,Updated Town  Unit #,Total Project,Prof Fee Allocation,Construction Allocation,Estimated Construction Cost,Town Portion,Est Make Ready
BERKSHIRE,PERU,EVERSOURCE,Eversource Energy (Northern Division),427,433,971,33,427,433,1840000,310000,380000,1530000,1150000,280000
WORCESTER,PETERSHAM,NGRID,NGrid - MassElectric (Baystate West),534,713,1561,50,534,713,2530000,420000,460000,2110000,1650000,770000
HAMPSHIRE,PLAINFIELD,VZ,Eversource Energy (Northern Division),347,361,979,41,347,361,1760000,300000,350000,1460000,1110000,450000
WORCESTER,PRINCETON,PRINCETON MUNICIPAL,Princeton Municipal Light Department,1325,1394,2373,74,1325,1394,4400000,640000,910000,3760000,2850000,910000
FRANKLIN,ROWE,NGRID,NGrid - MassElectric (Baystate West),227,249,942,29,227,249,1300000,220000,220000,1080000,860000,360000
WORCESTER,ROYALSTON,VZ,NGrid - MassElectric (Baystate West),651,673,2000,62,651,673,3180000,560000,610000,2620000,2010000,820000
BERKSHIRE,SANDISFIELD,SPLIT,Eversource Energy (Northern Division),687,766,1762,70,687,766,3610000,610000,620000,3000000,2380000,680000
BERKSHIRE,SAVOY,EVERSOURCE,Eversource Energy (Northern Division),372,388,735,34,372,388,1760000,300000,350000,1460000,1110000,280000
FRANKLIN,SHUTESBURY,SPLIT,NGrid - MassElectric (Baystate West),845,881,1350,37,845,881,2440000,360000,510000,2080000,1570000,370000
HAMPDEN,TOLLAND,EVERSOURCE,Eversource Energy (Northern Division),537,566,868,38,537,566,2650000,400000,430000,2250000,1820000,210000
BERKSHIRE,TYRINGHAM,VZ,Eversource Energy (Northern Division),308,338,750,22,308,338,1380000,220000,260000,1160000,900000,350000
FRANKLIN,WARWICK,VZ,NGrid - MassElectric (Baystate West),392,399,1570,47,392,399,2480000,420000,450000,2060000,1610000,600000
BERKSHIRE,WASHINGTON,EVERSOURCE,Eversource Energy (Northern Division),268,269,562,26,268,269,1260000,220000,270000,1040000,770000,240000
FRANKLIN,WENDELL,VZ,NGrid - MassElectric (Baystate West),461,471,1150,43,461,471,1900000,320000,410000,1580000,1170000,440000
BERKSHIRE,WEST STOCKBRIDGE,NGRID,NGrid - MassElectric (Baystate West),827,949,1541,45,827,949,2830000,420000,580000,2410000,1830000,530000
BERKSHIRE,WINDSOR,EVERSOURCE,Eversource Energy (Northern Division),498,510,1310,55,498,510,2150000,380000,450000,1770000,1320000,450000
HAMPSHIRE,WORTHINGTON,VZ,Eversource Energy (Northern Division),635,698,1623,61,635,698,2860000,480000,590000,2380000,1790000,690000
,,,TOTALS,26797,29213,59069,2040,26797,29213,108930000,17470000,22010000,91460000,69450000,23050000
